"Name";"Description"
"IVSO.ST.ST";"Invisio"
"IRIS.ST.ST";"Irisity"
"IRLAB-A.ST.ST";"IRLAB Therapeutics"
"ISOFOL.ST.ST";"Isofol Medical"
"ITAB.ST.ST";"ITAB Shop Concept"
"ITECH.ST.ST";"I-Tech"
"IZAFE-B.ST.ST";"iZafe"
"JLT.ST.ST";"JLT Mobile"
"JM.ST.ST";"JM"
"JOMA.ST.ST";"John Mattson"
"JDT.ST.ST";"JonDeTech Sensors"
"GATE.ST.ST";"Jumpgate"
"K2A-B.ST.ST";"K2A"
"K33.ST.ST";"K33"
"KABE-B.ST.ST";"Kabe"
"KAKEL.ST.ST";"Kakel Max"
"KAPIAB.ST.ST";"Kallebäck Property"
"KAMBI.ST.ST";"Kambi"
"KAN.ST.ST";"Kancera"
"KARNEL-B.ST.ST";"Karnell Group"
"KAR.ST.ST";"Karnov"
"KDEV.ST.ST";"Karolinska Development"
"KAV.ST.ST";"Katalysen Ventures"
"KBC.ST.ST";"KB Components"
"KEBNI-B.ST.ST";"KebNi"
"KENH.ST.ST";"Kentima"
"KFAST-B.ST.ST";"K-Fast Holding"
"KILI.ST.ST";"Kiliaro"
"BRAVE.ST.ST";"Kinda Brave"
"KINV-A.ST.ST";"Kinnevik A"
"KINV-B.ST.ST";"Kinnevik B"
"KJELL.ST.ST";"Kjell Group"
"KLARA-B.ST.ST";"KlaraBo"
"KLAR.ST.ST";"Klaria Pharma"
"KLIMAT.ST.ST";"Klimator"
"KNOW.ST.ST";"KnowIT"
"KONT.ST.ST";"Kontigo Care"
"KOBR-B.ST.ST";"Kopparbergs"
"KRONA.ST.ST";"Krona Public Real Estate"
"LAGR-B.ST.ST";"Lagercrantz"
"LAMM-B.ST.ST";"Lammhults Design"
"LGOLD-B.ST.ST";"Lappland Guldprospektering"
"LATO-B.ST.ST";"Latour"
"LATF-B.ST.ST";"Latvian Forest"
"LEA.ST.ST";"Lea Bank"
"LEMSE.ST.ST";"Leading Edge Materials"
"LEVBIO.ST.ST";"Level Bio"
"LIDDS.ST.ST";"LIDDS"
"LIFCO-B.ST.ST";"Lifco"
"LCLEAN.ST.ST";"Lifeclean"
"LAIR.ST.ST";"LightAir"
"LIGR.ST.ST";"Lightning Group"
"LIME.ST.ST";"Lime Technologies"
"LINC.ST.ST";"Linc"
"LIAB.ST.ST";"Lindab"
"LINKAB.ST.ST";"Link Prop"
"LPGO.ST.ST";"Lipigon Pharmaceuticals"
"LIPUM.ST.ST";"Lipum"
"LITI.ST.ST";"Litium"
"LOGI-A.ST.ST";"Logistea A"
"LOGI-B.ST.ST";"Logistea B"
"LOGIST-B.ST.ST";"Logistri"
"LOHILO.ST.ST";"Lohilo Foods"
"LOOMIS.ST.ST";"Loomis"
"LOVI.ST.ST";"Lovisagruvan"
"LOYAL.ST.ST";"Loyal Solutions"
"LUC.ST.ST";"Lucara Diamond"
"LUMEN.ST.ST";"LumenRadio"
"LUND-B.ST.ST";"Lundbergföretagen"
"LUG.ST.ST";"Lundin Gold"
"LUMI.ST.ST";"Lundin Mining"
"LXB.ST.ST";"Luxbright"
"LYGRD.ST.ST";"Lyckegård"
"LYKO-A.ST.ST";"Lyko"
"MAGI.ST.ST";"MAG Interactive"
"MAGLE.ST.ST";"Magle Chemoswed"
"MAGNA.ST.ST";"Magnasense"
"MAHA-A.ST.ST";"Maha Energy"
"MAHVIE.ST.ST";"Mahvie Minerals"
"MEAB-B.ST.ST";"Malmbergs Elektriska"
"MANG.ST.ST";"Mangold"
"MANTEX.ST.ST";"Mantex"
"MASHUP.ST.ST";"Mashup Ireland"
"MAVEN.ST.ST";"Maven Wireless"
"MAV.ST.ST";"Mavshack"
"MAXENT-B.ST.ST";"Maximum Entertainment"
"MCAP.ST.ST";"MedCap"
"MCLR.ST.ST";"Medclair"
"MEDHLP.ST.ST";"Medhelp Care"
"MEGR.ST.ST";"Mediacle"
"MCOV-B.ST.ST";"Medicover"
"MVIR.ST.ST";"Medivir"
"MEKO.ST.ST";"MEKO"
"IMMU.ST.ST";"Mendus"
"MNTC.ST.ST";"Mentice"
"MER.ST.ST";"Meren Energy"
"META.ST.ST";"Metacon"
"MSAB-B.ST.ST";"Micro Systemation"
"MPOS.ST.ST";"Micropos Medical"
"MSON-A.ST.ST";"Midsona A"
"MSON-B.ST.ST";"Midsona B"
"MIDS.ST.ST";"Midsummer"
"MILDEF.ST.ST";"Mildef Group"
"MNDRK.ST.ST";"MindArk"
"MINEST.ST.ST";"Minesto"
"MIPS.ST.ST";"Mips"
"MIR.ST.ST";"Miris"
"MOBA.ST.ST";"MOBA Network"
"MOB.ST.ST";"Moberg Pharma"
"MODEL.ST.ST";"Modelon"
"MTG-A.ST.ST";"Modern Times Group A"
"MTG-B.ST.ST";"Modern Times Group B"
"MODTX.ST.ST";"Modus Therapeutics"
"MOFAST.ST.ST";"Mofast"
"MOMENT.ST.ST";"Moment Group"
"MMGR-B.ST.ST";"Momentum Group"
"MONI.ST.ST";"Monivent"
"MODI.ST.ST";"Motion Display"
"MBBAB.ST.ST";"MoveByBike"
"MRSELL.ST.ST";"mResell"
"MTI.ST.ST";"MTI Investment"
"MTRS.ST.ST";"Munters"
"MYBEAT.ST.ST";"My Beat"
"MYCR.ST.ST";"Mycronic"
"SAFETY-B.ST.ST";"mySafety"
"NANEXA.ST.ST";"Nanexa"
"NANOC-B.ST.ST";"NanoCap"
"NANECH.ST.ST";"NanoEcho"
"NANOFS.ST.ST";"Nanoform"
"NICA.ST.ST";"Nanologica"
"NATTA.ST.ST";"Nattaro Labs"
"NAVIGO-STAM.ST.ST";"Navigo Invest"
"NAXS.ST.ST";"NAXS"
"NCAB.ST.ST";"NCAB Group"
"NCC-A.ST.ST";"NCC A"
"NCC-B.ST.ST";"NCC B"
"NMAN.ST.ST";"Nederman"
"NELLY.ST.ST";"Nelly Group"
"NEOBO.ST.ST";"Neobo Fastigheter"
"NEOLA.ST.ST";"Neola Medical"
"NEO-B.ST.ST";"Neovici Holding B"
"NEPA.ST.ST";"Nepa"
"NETI-B.ST.ST";"Net Insight"
"NETEL.ST.ST";"Netel Holding"
"NJOB.ST.ST";"NetJobs"
"NNH.ST.ST";"New Nordic Healthbrands"
"NEWA-B.ST.ST";"New Wave"
"NEWBRY.ST.ST";"Newbury Pharmaceuticals"
"NEXAM.ST.ST";"Nexam Chemical"
"NXAR.ST.ST";"Nexar Group"
"NXTCL.ST.ST";"NextCell Pharma"
"NFO.ST.ST";"NFO Drives"
"NGS.ST.ST";"NGS Group"
"NIBE-B.ST.ST";"NIBE Industrier"
"NICO.ST.ST";"Nicoccino"
"NIDHOG.ST.ST";"Nidhogg Resources"
"NILS.ST.ST";"Nilsson Special Vehicles"
"NIL-B.ST.ST";"Nilörngruppen"
"BOAT.ST.ST";"Nimbus"
"NITRO.ST.ST";"Nitro Games"
"NIUTEC.ST.ST";"Niutech Group"
"NIVI-B.ST.ST";"Nivika Fastigheter"
"NOBI.ST.ST";"Nobia"
"NOKIA-SEK.ST.ST";"Nokia"
"NOLA-B.ST.ST";"Nolato"
"NORDIG.ST.ST";"Nord Insuretech"
"NDA-SE.ST.ST";"Nordea Bank"
"NAIG-B.ST.ST";"Nordic Asia"
"NFGAB.ST.ST";"Nordic Flanges"
"NIO.ST.ST";"Nordic Iron Ore"
"LEVEL.ST.ST";"Nordic LEVEL"
"NPAPER.ST.ST";"Nordic Paper"
"NORB-B.ST.ST";"Nordisk Bergteknik"
"NOTEK.ST.ST";"Norditek"
"SAVE.ST.ST";"Nordnet"
"NREST.ST.ST";"Nordrest"
"NORION.ST.ST";"Norion Bank"
"NBZ.ST.ST";"Northbaze"
"CAPS.ST.ST";"Northern CapSek"
"NOSA.ST.ST";"Nosa Plugs"
"NOSIUM-B.ST.ST";"Nosium"
"NOTE.ST.ST";"NOTE"
"NOWO.ST.ST";"Nowonomics"
"NTEK-B.ST.ST";"Novotek"
"NOVU.ST.ST";"Novus"
"NP3.ST.ST";"NP3 Fastigheter"
"NYAB.ST.ST";"NYAB"
"NYF.ST.ST";"Nyfosa"
"OBDU-B.ST.ST";"Obducat"
"OBSE.ST.ST";"Observit"
"ODI.ST.ST";"ODI Pharma"
"ODIN.ST.ST";"Odinwell"
"OEM-B.ST.ST";"OEM International"
"OGUN-B.ST.ST";"Ogunsen"
"ONCO.ST.ST";"Oncopeptides"
"ONCOZ.ST.ST";"OncoZenge"
