"Name";"Description"
"NIBE-B.ST";"NIBE Industrier"
"NICO.ST";"Nicoccino"
"NIDHOG.ST";"Nidhogg Resources"
"NILS.ST";"Nilsson Special Vehicles"
"NIL-B.ST";"Nilörngruppen"
"BOAT.ST";"Nimbus"
"NITRO.ST";"Nitro Games"
"NIUTEC.ST";"Niutech Group"
"NIVI-B.ST";"Nivika Fastigheter"
"NOBI.ST";"Nobia"
"NOKIA-SEK.ST";"Nokia"
"NOLA-B.ST";"Nolato"
"NORDIG.ST";"Nord Insuretech"
"NDA-SE.ST";"Nordea Bank"
"NAIG-B.ST";"Nordic Asia"
"NFGAB.ST";"Nordic Flanges"
"NIO.ST";"Nordic Iron Ore"
"LEVEL.ST";"Nordic LEVEL"
"NPAPER.ST";"Nordic Paper"
"NORB-B.ST";"Nordisk Bergteknik"
"NOTEK.ST";"Norditek"
"SAVE.ST";"Nordnet"
"NREST.ST";"Nordrest"
"NORION.ST";"Norion Bank"
"NBZ.ST";"Northbaze"
"CAPS.ST";"Northern CapSek"
"NOSA.ST";"Nosa Plugs"
"NOSIUM-B.ST";"Nosium"
"NOTE.ST";"NOTE"
"NOWO.ST";"Nowonomics"
"NTEK-B.ST";"Novotek"
"NOVU.ST";"Novus"
"NP3.ST";"NP3 Fastigheter"
"NYAB.ST";"NYAB"
"NYF.ST";"Nyfosa"
"OBDU-B.ST";"Obducat"
"OBSE.ST";"Observit"
"ODI.ST";"ODI Pharma"
"ODIN.ST";"Odinwell"
"OEM-B.ST";"OEM International"
"OGUN-B.ST";"Ogunsen"
"ONCO.ST";"Oncopeptides"
"ONCOZ.ST";"OncoZenge"
"ONEF.ST";"Oneflow"
"OBAB.ST";"Online Brands Nordic"
"OODA.ST";"oodash Group"
"OPSYH.ST";"Opsy Holding"
"OPTER.ST";"Opter"
"OPTI.ST";"OptiCept Technologies"
"ORX.ST";"Orexo"
"ORGC.ST";"OrganoClick"
"ORRON.ST";"Orrön Energy"
"ORTI-A.ST";"Ortivus A"
"ORTI-B.ST";"Ortivus B"
"ORT-B.ST";"Ortoma"
"OSSD.ST";"OssDsign"
"OURLIV.ST";"OurLiving"
"OVZON.ST";"Ovzon"
"OXE.ST";"OXE Marine"
"PNDX-B.ST";"Pandox"
"PDX.ST";"Paradox Interactive"
"PAX.ST";"Paxman"
"PEAB-B.ST";"Peab"
"PMED.ST";"Peptonic Medical"
"PERP-B.ST";"Perpetua Medical"
"PEXA-B.ST";"PExA"
"PHAL.ST";"PharmaLundensis"
"PHI.ST";"Phase Holographic"
"PCAT.ST";"Photocat"
"PTRK.ST";"Physitrack"
"PIERCE.ST";"Pierce Group"
"PILA.ST";"Pila Pharma"
"PION-B.ST";"PION Group"
"PIXEL.ST";"PixelFox"
"PLAZ-B.ST";"Platzer Fastigheter"
"PLEJD.ST";"Plejd"
"POLAR.ST";"PolarCool"
"POLYG.ST";"Polygiene"
"POLYMER.ST";"Polymer Factory"
"PCELL.ST";"PowerCell"
"PREBON.ST";"Prebona"
"PRCO-B.ST";"Precio Fishbone"
"PREC.ST";"Precise Biometrics"
"PCOM-B.ST";"Precomp Solutions"
"SNX.ST";"Premium Snacks"
"PHYR-B.ST";"Preservia Hyresfastigheter"
"PRESRV.ST";"Preservium Property"
"PREV-B.ST";"Prevas"
"PRIC-B.ST";"Pricer"
"PRISMA.ST";"Prisma Properties"
"PACT.ST";"Proact IT"
"PROF-B.ST";"ProfilGruppen"
"PRFO.ST";"Profoto"
"PENG-B.ST";"Projektengagemang"
"PRLD.ST";"Prolight Diagnostics"
"PRO.ST";"Promimic"
"PLUN.ST";"ProstaLund"
"PROGEN.ST";"Prostatype Genomics"
"PROVIT.ST";"Provide IT"
"QBNK.ST";"QBank"
"QBEN.ST";"Qben Infra"
"QBRICK.ST";"Qbrick"
"QIIWI.ST";"Qiiwi Games"
"QAIR.ST";"QleanAir"
"QLIFE.ST";"QLife"
"QLINEA.ST";"Q-Linea"
"QLIRO.ST";"Qliro"
"QLOSR-B.ST";"Qlosr Group"
"QCORE.ST";"Qlucore"
"QSYS.ST";"Qualisys"
"QUIA.ST";"QuiaPEG Pharmaceuticals"
"RAIL.ST";"Railcare"
"RMDX.ST";"Railway Metrics & Dynamics"
"RAKE.ST";"Raketech"
"RAMSH.ST";"Ramlösa Shipping"
"RLOS-B.ST";"RanLOS"
"RPLAN.ST";"Ranplan"
"RATO-A.ST";"Ratos A"
"RATO-B.ST";"Ratos B"
"RAY-B.ST";"RaySearch Laboratories"
"RAYTL.ST";"Raytelligence"
"REAL.ST";"Real Fastigheter"
"REALFI.ST";"Realfiction"
"RECY-B.ST";"Recyctec"
"REDS.ST";"Redsense Medical"
"REFINE.ST";"Refine Group"
"REJL-B.ST";"Rejlers"
"RLVNC.ST";"Relevance Communication"
"RVN.ST";"Renewable Ventures"
"RENT.ST";"Rentunder"
"RESP.ST";"Respiratorius"
"RESURS.ST";"Resurs Holding"
"RVRC.ST";"Revolutionrace"
"RIGHTB.ST";"RightBridge Ventures"
"RO.ST";"Rolling Optics"
"RROS.ST";"Rottneros"
"RUG.ST";"RugVista"
"RUSTA.ST";"Rusta"
"ROKO-B.ST";"Röko"
"S2M.ST";"S2Medical"
"SAAB-B.ST";"Saab"
"SAFE.ST";"Safe at Sea"
"SLG-B.ST";"Safe Lane Gaming"
"SFL.ST";"Safello Group"
"SFTR.ST";"Safeture"
"SAGA-A.ST";"Sagax A"
"SAGA-B.ST";"Sagax B"
"SAGA-D.ST";"Sagax D"
