name;description
SFAST;Stenhus Fastigheter
STIL;Stille
SF;Stillfront
STWK;Stockwik Förvaltning
SBG;StoneBeach
STE A;Stora Enso A
STE R;Stora Enso R
STOR B;Storskogen
STORY B;Storytel
STUDBO;Studentbostäder
SVIK;Studsvik
SUMMAS;Summa Defence
STRD B;Suntrade
SUS;Surgical Science
SENS;Sustainable Energy
SUSG;Sustainion
SVEAF;Sveafastigheter
SWEC A;Sweco A
SWEC B;Sweco B
SWED A;Swedbank
SVED B;Svedbergs
BUY;Sweden BuyersClub
SECARE;Swedencare
SLP B;Swedish Logistic Property
SOBI;Swedish Orphan Biovitrum
AERO;Svenska Aerogel
SVOL A;Svolder A
SVOL B;Svolder B
SYNACT;SynAct Pharma
SYNC B;Syncro
SYNSAM;Synsam
SYNT;SyntheticMR
SYSR;Systemair
SODER;Söder Sportfiske
TAGM B;TagMaster
TALK;Talkpool
TANGI;Tangiamo Touch
TCC A;TCECUR
SX101020PI;Technology Hardware
TEL2 A;Tele2 A
TEL2 B;Tele2 B
SX151010PI;Telecom Equipment
SX151020PI;Telecom Service Providers
TELIA;Telia Company
TELLUS;Tellusgruppen
TSEC;Tempest Security
TENEO;Teneo AI
TEQ;Teqnion
TERRNT B;TerraNet
TESSIN;Tessin Nordic
TFBANK;TF Bank
THINC;Thinc
THULE;Thule
THUNDR;Thunderful
TIETOS;TietoEVRY
TPGR;Time People Group
TINGS A;Tingsvalvet A
TINGS B;Tingsvalvet B
TINGS PREF;Tingsvalvet Pref
TITA B;Titania
TOBII;Tobii
TOL;Toleranzia
TOPR;TopRight Nordic
TOUCH;Touchtech
TOURN;Tourn
TRAC B;Traction
TRAD;TradeDoubler
TRAIN B;Train Alliance
TRML;Trainimal
TRNSF;Transfer Group
TRAN A;Transferator A
TRAN B;Transferator B
TIRO;Transiro
TRANS;Transtema
8TRA;Traton
SX4050PI;Travel & Leisure
TREL B;Trelleborg
TRIAN B;Trianon
TRIBO B;Tribox Group
TRIONA;Triona
TROAX;Troax Group
TRUE B;Truecaller
TURA;Tura Group
UMIDA B;Umida
UNIBAP;Unibap Space Solutions
UTG;Unlimited Travel Group
UPGRAD;Upgrade Invest Nordic
UPSALE;Upsales
USWE;USWE Sports
W5;W5 Solutions
WTW A;Wall to Wall
WALL B;Wallenstam
VALUNO;Valuno Group
VAXXA;Vaxxa
WAYS;Waystream
VBG B;VBG Group
WRV;Webrock Ventures
VEFAB;VEF
VERT B;Vertiseit
VER;Verve Group
WPAY;Westpay
VESTUM;Vestum
VPAB B;Veteranpoolen
WPTG B;White Pearl Technology
VPLAY A;Viaplay A
VPLAY B;Viaplay B
VSD B;Vibrosense Dynamics
VICO;Vicore Pharma
VIDH;Vidhance
WIHL;Wihlborgs Fastigheter
VSSAB B;Viking Supply
VIMAB;Vimab Group
VIMIAN;Vimian Group
WEG;Windon
WISE;Wise Group
VIT B;Vitec Software
VITR;Vitrolife
VIVA;Viva Wine
VIVE;Vivesto
VNV;VNV Global
VO2;Vo2 Cap
VOLO;Volati
VOLO PREF;Volati Pref
VOLV A;Volvo A
VOLV B;Volvo B
VOLCAR B;Volvo Car
WONDR;Wonderboo
WTG;Wonderful Times
VULTS;Vultus
VUXEN;Vuxen Group
WYLD;Wyld Networks
WBGR B;Wästbygg
VH;Västra Hamnen
XANO B;XANO Industri
XBRANE;Xbrane Biopharma
XINT;Xintela
XMR;XMReality
XOM B;Xoma
XPC;XP Chemistries
XSPRAY;Xspray Pharma
XVIVO;Xvivo Perfusion
YUBICO;Yubico
ZAPLOX;Zaplox
ZENZIP B;Zenergy
ZENI;Zenicor Medical
ZZ B;Zinzino
ZOOM;Zoomability
ORES;Öresund
